,response_latest_time,post_title,post_url,author_name,author_url,response_count,possible_price,addr_coords,addr_name,transit_minutes
554,2022-03-08 13:21:00,五号线地铁！北苑路北地铁站！,https://www.douban.com/group/topic/261825402/,北苑小新,https://www.douban.com/people/248282469/,2,,"116.418089,40.030436",北京市朝阳区奥运村街道北苑路北(地铁站)拂林园,26.0
782,2022-03-07 18:20:00,8号线安华桥朝南主卧转租一月,https://www.douban.com/group/topic/261769133/,豆友206149820,https://www.douban.com/people/206149820/,0,,"116.394536,39.968475",北京市朝阳区安贞街道安华桥,27.0
795,2022-03-07 17:53:00,酒仙桥大山子环博路2号院，主卧独卫，随时入住，价格3300,https://www.douban.com/group/topic/261767235/,租房特工队,https://www.douban.com/people/193874214/,2,3300.0,"116.486722,39.984808",北京市朝阳区酒仙桥街道海王星辰健康药房(七星华电科技集团有限责任公司医院西南)大山子北里,27.0
233,2022-03-09 10:59:00,纯个人找室友_2号线_13号线_东直门_主卧_限女,https://www.douban.com/group/topic/261889792/,豆在跳,https://www.douban.com/people/dorydou/,1,,"116.418802,39.940792",北京市东城区北新桥街道东直门内大街254号簋街,28.0
616,2022-03-08 10:21:00,10号线双井朝南主卧出租，价格可谈,https://www.douban.com/group/topic/261811608/,wxy,https://www.douban.com/people/242385931/,2,,"116.462683,39.896505",北京市朝阳区双井街道东环18公寓,28.0
39,2022-03-09 20:15:00,六号线地铁青年路站朝阳大悦城附近三居中正规次卧出租,https://www.douban.com/group/topic/261930503/,miamicoool,https://www.douban.com/people/153065214/,2,,"116.518015,39.924294",北京市朝阳区平房乡朝阳大悦城,28.0
274,2022-03-08 21:47:00,10号线双井朝南主卧带阳台出租,https://www.douban.com/group/topic/261861432/,豆友Kw2Q-cNJTs,https://www.douban.com/people/251745918/,3,,"116.462683,39.896505",北京市朝阳区双井街道东环18公寓,28.0
15,2022-03-09 21:33:00,10号线双井朝南主卧出租，价格可谈,https://www.douban.com/group/topic/261936696/,张子濠,https://www.douban.com/people/249554616/,0,,"116.462683,39.896505",北京市朝阳区双井街道东环18公寓,28.0
792,2022-03-07 18:00:00,个人转租/芍药居大主卧带阳台,https://www.douban.com/group/topic/261767747/,정🎉,https://www.douban.com/people/160213526/,0,,"116.438214,39.982278",北京市朝阳区太阳宫乡应急管理部信息研究院芍药居北区,29.0
474,2022-03-08 17:24:00,出租｜合租，限女生，知春路,https://www.douban.com/group/topic/261842426/,啊难太南了,https://www.douban.com/people/249034991/,0,,"116.353044,39.977135",北京市海淀区花园路街道学院国际大厦,29.0
467,2022-03-08 17:52:00,🇨🇳20分钟直达国贸  四惠建国门  大望路   传媒大学  朝南大主卧 独立卫生间  3000/月  无中介费,https://www.douban.com/group/topic/261844160/,嗯哪,https://www.douban.com/people/252064393/,2,3000.0,"116.476390,39.907088",北京市朝阳区建外街道现代城中路,29.0
229,2022-03-09 11:11:00,和平里/两居整租,https://www.douban.com/group/topic/261890761/,二十四桥明月夜,https://www.douban.com/people/248734258/,4,,"116.421522,39.955727",北京市东城区和平里街道和平里社区和平里五区,29.0
196,2022-03-09 12:09:00,国贸CBD 光辉里小区 距离大望路地铁站步行3分钟  无中介费 仅限女生,https://www.douban.com/group/topic/261895335/,菜籽和谷粒,https://www.douban.com/people/141316232/,0,,"116.477927,39.909917",北京市朝阳区八里庄街道西大望路北京SKP,29.0
478,2022-03-08 17:11:00,个人出租望京酒仙桥荧屏里合住女生房大次卧长期出租，,https://www.douban.com/group/topic/261841484/,豆友家族,https://www.douban.com/people/197234829/,5,,"116.490791,39.988998",北京市朝阳区酒仙桥街道荧屏里荧屏里小区,29.0
915,2022-03-07 12:49:00,整租两到三个月，鼓楼大街地铁附近,https://www.douban.com/group/topic/261744790/,王小狸,https://www.douban.com/people/89185631/,1,,"116.392857,39.946804",北京市西城区什刹海街道大石桥胡同13号经贸大学宿舍,29.0
0,2022-03-06 11:23:00,【已精选」】14套房东出租房,https://www.douban.com/group/topic/261658890/,草原,https://www.douban.com/people/lcaoyuan/,0,,,,
11,2022-03-09 21:37:00,6号线地铁400米，个人直租精装开间，独立厨卫，家电齐全随时看房入住,https://www.douban.com/group/topic/261937129/,王闯,https://www.douban.com/people/211056941/,0,,,,
32,2022-03-09 20:39:00,房东出租,https://www.douban.com/group/topic/261932361/,丫丫,https://www.douban.com/people/225892128/,0,,,,
50,2022-03-09 19:31:00,3000+带阳台,https://www.douban.com/group/topic/261927176/,A爱家💍 ～孙彤🏠,https://www.douban.com/people/238716002/,0,3000.0,,,
54,2022-03-09 19:13:00,人转租望京地铁口卧室，无隔断,https://www.douban.com/group/topic/261925764/,平潭岛,https://www.douban.com/people/50588044/,0,,,,
82,2022-03-09 17:13:00,地铁直达国贸，精装修两居室出租，南北通透，空间够大光线充足，,https://www.douban.com/group/topic/261917319/,爱意随风起,https://www.douban.com/people/246615533/,2,,,,
114,2022-03-09 15:29:00,地铁s1号线次卧招合租室友，限女生，中介勿扰,https://www.douban.com/group/topic/261909923/,橙子酱,https://www.douban.com/people/202619170/,0,,,,
132,2022-03-09 14:41:00,麻烦各位帮我看一下，感谢感谢各位,https://www.douban.com/group/topic/261906501/,.,https://www.douban.com/people/217633732/,1,,,,
136,2022-03-09 14:33:00,主卧-大阳台,https://www.douban.com/group/topic/261905876/,Coconut,https://www.douban.com/people/239461768/,0,,,,
139,2022-03-09 14:27:00,找男室友，一起整租二居室,https://www.douban.com/group/topic/261905346/,Grey,https://www.douban.com/people/156922912/,1,,,,
147,2022-03-09 14:01:00,房东直租 坐标次渠南 精装大两居89平整租 四月底入住,https://www.douban.com/group/topic/261903465/,葡萄小丸子,https://www.douban.com/people/161259065/,0,,,,
159,2022-03-09 13:29:00,1号线，直达国贸30分钟，朝南，超大主卧独卫，,https://www.douban.com/group/topic/261900953/,豆友254377036,https://www.douban.com/people/254377036/,1,,,,
169,2022-03-09 13:13:00,个人房屋转租！！！,https://www.douban.com/group/topic/261899733/,浮世清欢,https://www.douban.com/people/233770019/,0,,,,
182,2022-03-09 12:34:00,14号线，找室友一起续约～,https://www.douban.com/group/topic/261896983/,碗碗碗不,https://www.douban.com/people/193757606/,8,,,,
201,2022-03-09 11:57:00,😌1号线直达国贸30分钟，朝南，大主卧独卫带阳台，精装修。无中介费！！！,https://www.douban.com/group/topic/261894489/,豆友Ysai7_bq04,https://www.douban.com/people/253953555/,1,,,,
203,2022-03-09 11:55:00,业主直签/门头沟地铁S1号线上岸口两室一厅两卫,https://www.douban.com/group/topic/261894384/,洪涛,https://www.douban.com/people/237537666/,0,,,,
215,2022-03-09 11:33:00,房东直租沙河北大桥两室一厅一厨一卫，整套3599元每月押一付三包物业取暖，照片是房间实景。,https://www.douban.com/group/topic/261892641/,Lucky girl,https://www.douban.com/people/153222085/,1,3599.0,,,
216,2022-03-09 11:33:00,1号楼线，两室一厅，5400，电梯，集供暖，无中介费。泱泱北京，祝你早日找到好房！！！13370130726,https://www.douban.com/group/topic/261892600/,豆友25300995,https://www.douban.com/people/253009956/,0,5400.0,,,
249,2022-03-09 10:37:00,15号线号线南法信地铁，整租一居loft，无中介费，交通便利，到地铁600米，通勤望京来广营花梨坎，酒仙桥，v同18613306343,https://www.douban.com/group/topic/261887879/,晓飞,https://www.douban.com/people/241957822/,0,,,,
262,2022-03-09 10:26:00,"合租女生 六号地铁线 常营 朝南主卧
可提前看房留房微信13120274959 无中介费",https://www.douban.com/group/topic/261886969/,DiDiDi,https://www.douban.com/people/226243399/,0,,,,
273,2022-03-08 23:33:00,CBD二楼超大南主卧带阳台带储物间(中介勿扰),https://www.douban.com/group/topic/261870056/,Geekyard吉雅,https://www.douban.com/people/64269521/,1,,,,
277,2022-03-08 20:35:00,有没有一起合租望京两居室的,https://www.douban.com/group/topic/261855720/,🍊橙,https://www.douban.com/people/181795323/,3,,,,
284,2022-03-08 08:51:00,已出,https://www.douban.com/group/topic/261805816/,小丫,https://www.douban.com/people/238719246/,0,,,,
291,2022-03-07 14:18:00,转租草房3100，大开间独厨独卫拎包入住,https://www.douban.com/group/topic/261751207/,赤子,https://www.douban.com/people/w5023888/,1,3100.0,,,
310,2022-03-06 12:03:00,双桥5号井全新配置南北两居4200元/月,https://www.douban.com/group/topic/261661733/,chenfei,https://www.douban.com/people/193358725/,2,4200.0,,,
351,2022-03-03 13:17:00,1号线，二室一厅，5400，电梯，集中供暖，无中介费。泱泱北京，祝你早日找到好房！！！13370130726,https://www.douban.com/group/topic/261424443/,爱34,https://www.douban.com/people/245272620/,13,5400.0,,,
354,2022-03-03 09:33:00,个人直租，带阳台大主卧角门东房子,https://www.douban.com/group/topic/261407858/,唯AI静,https://www.douban.com/people/238303420/,11,,,,
357,2022-03-03 08:41:00,1号楼线，两室一厅，5400，电梯，集供暖，无中介费。泱泱北京，祝你早日找到好房！！！13370130726,https://www.douban.com/group/topic/261405125/,三少,https://www.douban.com/people/253128321/,37,5400.0,,,
362,2022-03-02 16:31:00,6号线，1号线，双地铁，一室一厅，3100，电梯。距离地铁站远点。泱泱北京，祝你早点找到好房！,https://www.douban.com/group/topic/261354573/,豆友240976025,https://www.douban.com/people/240976025/,10,3100.0,,,
374,2022-02-28 21:21:00,1号线，独卫主卧，3000元，电梯，集中供暖，可月付，无中介费。国贸直达，泱泱北京，祝你早日找到心愛的房子,https://www.douban.com/group/topic/261215336/,林子,https://www.douban.com/people/249373439/,14,3000.0,,,
396,2022-02-25 14:39:00,🙏🙏🙏个人出租 靠谱,https://www.douban.com/group/topic/260953291/,豆友xDh2oevclA,https://www.douban.com/people/253808695/,9,,,,
420,2022-03-08 20:35:00,10号线劲松双井地铁，华腾园次卧出租，限女生有意向者联系13920751098(微信同号),https://www.douban.com/group/topic/261855732/,sunny,https://www.douban.com/people/119185316/,0,,,,
421,2022-03-08 20:35:00,有没有一起合租望京两居室的,https://www.douban.com/group/topic/261855720/,🍊橙,https://www.douban.com/people/181795323/,3,,,,
429,2022-03-08 19:47:00,佛系找室友，五月后入住,https://www.douban.com/group/topic/261852252/,秋水悠悠夏日茶,https://www.douban.com/people/61337241/,5,,,,
432,2022-03-08 19:38:00,非中介10号线健德门附近单间转租女生优先,https://www.douban.com/group/topic/261851626/,扬帆启航,https://www.douban.com/people/254462385/,0,,,,
448,2022-03-08 18:44:00,地铁3分钟 精装两居室,https://www.douban.com/group/topic/261847655/,看海,https://www.douban.com/people/254229370/,8,,,,
470,2022-03-08 17:35:00,个人急转租,https://www.douban.com/group/topic/261843077/,爱笑的小二哈,https://www.douban.com/people/248442917/,1,,,,
508,2022-03-08 15:31:00,短期出租望京惠谷时空大两居中主卧或次卧,https://www.douban.com/group/topic/261834419/,禅愚,https://www.douban.com/people/200975599/,4,,,,
513,2022-03-08 15:17:00,地铁6号线，出行方便！！！,https://www.douban.com/group/topic/261833414/,曼哈尼沈憔悴,https://www.douban.com/people/201435977/,0,,,,
529,2022-03-08 14:30:00,个人转租 三月底可入住,https://www.douban.com/group/topic/261830231/,不要找到我lili,https://www.douban.com/people/cxl1998513/,4,,,,
567,2022-03-08 12:36:00,主卧次卧转租！！！,https://www.douban.com/group/topic/261822071/,嘎嘎嘎,https://www.douban.com/people/254101642/,0,,,,
602,2022-03-08 10:59:00,个人转租，三房一厅的主卧,https://www.douban.com/group/topic/261814811/,咸鱼翻身,https://www.douban.com/people/88728478/,0,,,,
607,2022-03-08 10:48:00,寻房东直租~北京西三四五环附近独立卫浴公寓或一居~环境好可“长住+年付”,https://www.douban.com/group/topic/261813830/,ly3088795,https://www.douban.com/people/138392304/,1,,,,
612,2022-03-08 10:38:00,全通州所有房源无中介费，4000多套,https://www.douban.com/group/topic/261813016/,兔兔子吃肉肉,https://www.douban.com/people/247464945/,5,4000.0,,,
623,2022-03-08 10:06:00,"没有中介费 服务费
地铁线路：立水桥  北苑  立水桥南 北苑路北 慧新西街南北口   安贞门 大屯路东  芍药居  望京 均有房源",https://www.douban.com/group/topic/261810515/,2539,https://www.douban.com/people/251532447/,0,,,,
659,2022-03-08 08:51:00,已出,https://www.douban.com/group/topic/261805816/,小丫,https://www.douban.com/people/238719246/,0,,,,
685,2022-03-07 23:38:00,朗房园，小区，一居室2800/🈷️ 包物业取暖精装修    两居室3800/🈷️,https://www.douban.com/group/topic/261793466/,橘子遇到汽水,https://www.douban.com/people/217229362/,0,3300.0,,,
707,2022-03-07 22:27:00,合租，找室友，7号线沿线,https://www.douban.com/group/topic/261787518/,猫de薛定谔,https://www.douban.com/people/225379952/,0,,,,
724,2022-03-07 21:45:00,纯个人，鲁能，美高梅公寓,https://www.douban.com/group/topic/261783953/,笑笑,https://www.douban.com/people/169299859/,0,,,,
736,2022-03-07 21:04:00,个人转租1号线,https://www.douban.com/group/topic/261780734/,阿宁—n,https://www.douban.com/people/248343443/,0,,,,
776,2022-03-07 18:38:00,个人转租6号线物资独卫,https://www.douban.com/group/topic/261770253/,yyyyyyyyy_,https://www.douban.com/people/227860928/,0,,,,
791,2022-03-07 18:00:00,急转租！地铁6号线步行3分钟，两居室整租,https://www.douban.com/group/topic/261767798/,吹毛求疵的懒虫,https://www.douban.com/people/200843493/,1,,,,
800,2022-03-07 17:31:00,招租 纯个人 八里桥 八通线 无中介费。主卧朝南,https://www.douban.com/group/topic/261765731/,Amy,https://www.douban.com/people/239705838/,1,,,,
809,2022-03-07 17:03:00,六号线 两家合租另外一家是女生 无中介费找室友,https://www.douban.com/group/topic/261763638/,再吃一口吧,https://www.douban.com/people/245442302/,0,,,,
826,2022-03-07 16:24:00,个人急转地铁直达望京顺义,https://www.douban.com/group/topic/261760749/,熙汐寐,https://www.douban.com/people/180441468/,0,,,,
828,2022-03-07 16:18:00,国贸CBD 纯个人‼️可押一付一,https://www.douban.com/group/topic/261760281/,李佳霓,https://www.douban.com/people/146792517/,1,,,,
835,2022-03-07 15:58:00,需要室友一枚，限女孩，将府锦苑一号院,https://www.douban.com/group/topic/261758799/,名字弄得那么长,https://www.douban.com/people/208483598/,0,,,,
856,2022-03-07 15:09:00,【转租】东直门-13号线-2号线-带阳台大主卧-3500元-限女,https://www.douban.com/group/topic/261755122/,GS,https://www.douban.com/people/55660149/,0,3500.0,,,
875,2022-03-07 14:18:00,转租草房3100，大开间独厨独卫拎包入住,https://www.douban.com/group/topic/261751207/,赤子,https://www.douban.com/people/w5023888/,1,3100.0,,,
903,2022-03-07 13:21:00,转租|4号线枣园二居3800,https://www.douban.com/group/topic/261747225/,黑子不是黑子,https://www.douban.com/people/174394420/,9,3800.0,[],,
949,2022-03-07 11:32:00,转租 无中介费 13号线/8号线,https://www.douban.com/group/topic/261739160/,Calk,https://www.douban.com/people/220099272/,0,,,,
951,2022-03-07 11:27:00,15号线南法信地铁，望京直达，整租loft一居室3500，整租三居室5300，没有中介费!来广营，将台，阜通，SOHO，孙河，国展,https://www.douban.com/group/topic/261738768/,red,https://www.douban.com/people/43779051/,0,4400.0,,,
963,2022-03-07 11:03:00,"出租：正规三居室主卧次卧
区域：海淀区西二旗智学苑小区",https://www.douban.com/group/topic/261736768/,definity1,https://www.douban.com/people/85528937/,0,,,,
964,2022-03-07 11:00:00,"没有中介费 服务费
地铁线路：立水桥  北苑  立水桥南 北苑路北 慧新西街南北口   安贞门 大屯路东  芍药居  望京 均有房源",https://www.douban.com/group/topic/261736554/,4798,https://www.douban.com/people/wjr1997/,0,,,,
969,2022-03-07 10:56:00,个人|整租|首经贸枫泽园90平大两居|两室一厅一卫|10号线房山线,https://www.douban.com/group/topic/261736225/,cccyo,https://www.douban.com/people/188486935/,0,,[],,
995,2022-03-07 09:51:00,个人出租20平地铁南站次卧，200米就是地铁,https://www.douban.com/group/topic/261731593/,弯弯,https://www.douban.com/people/243483197/,2,,,,
